step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
38,22574,38,0.09805084497789449,0.0,0.9673202614379085
39,23111,39,0.5293827724981613,0.0,0.7913279132791328
40,23496,40,0.0338606485008711,0.0,0.9903225806451613
41,24033,41,1.4294597307075994,0.0,0.46865671641791046
42,24970,42,1.083561171373323,0.0,0.5987361769352291
43,25531,43,0.40178949660446284,0.0,0.8851540616246498
44,26540,44,1.2959758460421427,0.0,0.5727272727272728
45,27029,45,0.040550340214600945,0.0,0.9935064935064936
46,27910,46,0.41859102586993396,0.0,0.7027972027972028
47,29159,47,1.3336912250053743,0.0,0.45209580838323354
48,29624,48,0.04085254304814206,0.0,0.9889196675900277
49,30257,49,0.1268575313835192,0.0,0.9678571428571429
50,30650,50,0.07625432013681663,0.0,0.9915492957746479
51,32147,51,1.2207527820094628,0.0,0.5676810073452256
52,32516,52,0.8368805216328855,0.0,0.6929460580912863
53,32925,53,0.6422632899918254,0.0,0.720164609053498
54,33606,54,1.2476457139937707,0.0,0.4797843665768194
55,34239,55,0.3775632206296961,0.0,0.9042316258351893
56,34576,56,0.7259849853275516,0.0,0.6703910614525139
57,35225,57,0.04491107642438045,0.0,0.9837662337662337
58,35802,58,0.06495988708235452,0.0,0.9859550561797753
59,36403,59,0.031145612161000584,1.0,1.0
60,37060,60,0.3144604963755221,0.0,0.8165467625899281
61,37509,61,0.032118607428849394,0.0,0.9972222222222222
62,38038,62,0.1960434368145434,0.0,0.9515151515151515
63,38495,63,0.021281675491157632,0.0,0.9943820224719101
64,39032,64,0.6455368822770341,0.0,0.8219895287958116
65,39425,65,0.13189574703410933,0.0,0.9651162790697675
66,40194,66,0.026682821298474914,0.0,0.9972222222222222
67,40779,67,0.4416402094051462,0.0,0.6863636363636364
68,41660,68,0.31604388702323727,0.0,0.7937062937062938
69,42069,69,0.48534683143054175,0.0,0.7736625514403292
70,42718,70,0.03725674592774021,0.0,0.9902597402597403
71,43087,71,0.6283636897032764,0.0,0.7510373443983402
72,43488,72,0.0491368256750472,0.0,0.9836601307189542
73,43953,73,0.02488257990078458,0.0,0.9944598337950139
74,44610,74,0.21468160705157646,0.0,0.8741007194244604
75,45291,75,1.0615041669788823,0.0,0.5202156334231806
76,45852,76,0.25718885173594247,0.0,0.9215686274509803
77,46389,77,0.33864759299405767,0.0,0.8672086720867209
78,47326,78,0.9171694872355585,0.0,0.641390205371248
79,47903,79,0.05776748462178105,0.0,0.9915730337078652
80,48360,80,0.04123795866657695,0.0,0.9943820224719101
81,48993,81,0.22488246609206258,0.0,0.9287305122494433
82,49522,82,0.07832545051251816,0.0,0.9666666666666667
83,51019,83,1.1072346102312423,0.0,0.5991605456453305
84,51532,84,0.04449491252368584,0.0,0.9900662251655629
85,52781,85,1.1941532682401983,0.0,0.47754491017964074
86,53230,86,0.01201686875340991,1.0,1.0
87,53887,87,0.03174849509950129,0.0,0.9888579387186629
88,54224,88,0.5571861767929559,0.0,0.7262569832402235
89,54857,89,0.059100030984638355,0.0,0.9857142857142858
90,55394,90,0.42288216028979614,0.0,0.8717277486910995
91,55779,91,0.03683477273700071,0.0,0.9935483870967742
92,56172,92,0.02465536481305791,0.0,0.9943661971830986
93,56493,93,0.8109136898763076,0.0,0.5903614457831325
94,57262,94,0.02094926419480349,1.0,1.0
95,57655,95,0.07781466846674127,0.0,0.9825581395348837
96,58664,96,1.101328050521917,0.0,0.6272727272727273
97,59201,97,1.238503078662583,0.0,0.5074626865671642
98,59802,98,0.02282628878734478,0.0,0.9944598337950139
99,60291,99,0.03094010787287368,0.0,0.987012987012987
100,60852,100,0.15166761297062598,0.0,0.9411764705882353
101,61317,101,0.01417206996427767,1.0,1.0
102,61974,102,0.022459801117811623,0.0,0.9944289693593314
103,62487,103,0.02138161227810752,0.0,0.9933774834437086
104,62880,104,0.03777915436133474,0.0,0.9883720930232558
105,63409,105,0.019147623714798126,0.0,0.996969696969697
106,64058,106,0.021789244622949684,0.0,0.9967532467532467
107,64691,107,0.14644392019431926,0.0,0.955456570155902
108,65100,108,0.30553887207664476,0.0,0.8641975308641975
109,65549,109,0.010941881956890403,1.0,1.0
110,66038,110,0.02158095567439432,0.0,0.9967532467532467
111,66671,111,0.034860566466852955,0.0,0.9892857142857143
112,67272,112,0.017263161504929316,1.0,1.0
113,67849,113,0.023726711033711705,0.0,0.9971910112359551
114,68186,114,0.36844044044753804,0.0,0.8100558659217877
115,68843,115,0.12163770400708088,0.0,0.935251798561151
116,69524,116,0.8780049338254858,0.0,0.5768194070080862
117,70061,117,0.2818820845982369,0.0,0.9031413612565445
118,70598,118,0.18816316634551664,0.0,0.948509485094851
119,72095,119,1.0174625667777542,0.0,0.6190975865687304
120,72496,120,0.026701338083694574,0.0,0.9934640522875817
121,73265,121,0.01951195881644616,1.0,1.0
122,74202,122,0.7773636910644297,0.0,0.6951026856240127
123,74659,123,0.012821159367322806,0.0,0.9971910112359551
124,75668,124,0.9926725880815747,0.0,0.6584415584415585
125,76053,125,0.011189700161573246,1.0,1.0
126,76374,126,0.6387106982093099,0.0,0.6626506024096386
127,76911,127,1.1110312480830746,0.0,0.5373134328358209
128,77280,128,0.5076781830664717,0.0,0.7925311203319502
129,78161,129,0.24177070480442703,0.0,0.8426573426573427
130,78746,130,0.279732722050211,0.0,0.8136363636363636
131,79995,131,1.074862495293212,0.0,0.5269461077844312
132,80388,132,0.015687892442958075,0.0,0.9943661971830986
133,80773,133,0.010279916912891828,1.0,1.0
134,81286,134,0.018686679069116998,0.0,0.9966887417218543
135,81623,135,0.25547938022662187,0.0,0.8770949720670391
136,82280,136,0.016565490342994618,1.0,1.0
137,82673,137,0.015248574877228806,0.0,0.997093023255814
138,83130,138,0.010660600582606056,0.0,0.9971910112359551
139,83667,139,1.0737361049870422,0.0,0.5611940298507463
140,84036,140,0.4297510634553474,0.0,0.8340248962655602
141,84805,141,0.019107110939182353,1.0,1.0
142,85438,142,0.026899821148989044,0.0,0.9928571428571429
143,86319,143,0.21879395937745363,0.0,0.8566433566433567
144,87256,144,0.7350435612673214,0.0,0.717219589257504
145,87649,145,0.009982142272686229,1.0,1.0
146,88210,146,0.0847571144232654,0.0,0.969187675070028
147,88675,147,0.01074383905457404,1.0,1.0
148,89332,148,0.08047056719654988,0.0,0.9712230215827338
149,89917,149,0.24675537754599708,0.0,0.8318181818181818
150,91414,150,0.9789707886759623,0.0,0.633788037775446
151,91863,151,0.010982289914695471,0.0,0.9972222222222222
152,92440,152,0.01956390421734767,0.0,0.9971910112359551
153,92841,153,0.011759688064564972,1.0,1.0
154,93474,154,0.07569657455670475,0.0,0.9844097995545658
155,94003,155,0.013202849605650735,1.0,1.0
156,95252,156,1.0556777485523237,0.0,0.5344311377245509
157,95789,157,0.13226982510885263,0.0,0.9728997289972899
158,96110,158,0.5828433280122737,0.0,0.6807228915662651
159,97119,159,0.9511786704946426,0.0,0.6727272727272727
160,97528,160,0.19219038000803323,0.0,0.9135802469135802
161,98177,161,0.021936349490614793,0.0,0.9967532467532467
162,98778,162,0.016971429187786546,1.0,1.0
163,99315,163,0.20854462607511137,0.0,0.9240837696335078
164,99996,164,0.7873319745586143,0.0,0.6145552560646901
165,100485,165,0.019195728245642252,0.0,0.9967532467532467
166,100806,166,0.5828335915143245,0.0,0.6867469879518072
167,101343,167,0.20854462607511137,0.0,0.9240837696335078
