step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
1,561,1,1.569572158064773,0.0,0.48739495798319327
2,1074,2,1.4061121065815483,0.0,0.4867549668874172
3,2083,3,1.533252739752941,0.0,0.5285714285714286
4,2476,4,2.165238766996854,0.0,0.47093023255813954
5,2869,5,2.1809223724154303,0.0,0.48732394366197185
6,3190,6,1.3799817209838476,0.0,0.4457831325301205
7,3823,7,1.0344043626817538,0.0,0.45714285714285713
8,4272,8,1.7420378304768847,0.0,0.5027777777777778
9,4873,9,1.26402633367375,0.0,0.5207756232686981
10,5530,10,1.0890415135554743,0.0,0.5097493036211699
11,5995,11,1.4746630369648517,0.0,0.5235457063711911
12,6652,12,0.4682214473315673,0.0,0.7050359712230215
13,7109,13,1.2511193497335067,0.0,0.5955056179775281
14,7598,14,0.8936617515478923,0.0,0.6298701298701299
15,7967,15,1.2114036252993428,0.0,0.5809128630705395
16,8352,16,0.9574426687933313,0.0,0.6903225806451613
17,9849,17,1.345594036147984,0.0,0.5393494228751312
18,10786,18,1.2437292521791752,0.0,0.5339652448657188
19,11123,19,0.9917000186759254,0.0,0.5586592178770949
20,11660,20,1.6630096943498678,0.0,0.41194029850746267
21,12197,21,1.1413340570501729,0.0,0.6518324607329843
22,13078,22,0.5417618324746746,0.0,0.6048951048951049
23,14327,23,1.4713598482160952,0.0,0.41467065868263475
24,14856,24,0.5625905562915363,0.0,0.7757575757575758
25,15257,25,0.5102053232762278,0.0,0.8333333333333334
26,15834,26,0.4483249324016342,0.0,0.8174157303370787
27,16467,27,0.7702466785385261,0.0,0.7616926503340757
28,16876,28,0.9133359781114659,0.0,0.5925925925925926
29,17461,29,0.7553996611526611,0.0,0.5318181818181819
30,18230,30,0.18791326292343263,0.0,0.8972222222222223
31,18767,31,0.7541532500841113,0.0,0.7046070460704607
32,19448,32,1.4913349780919962,0.0,0.40700808625336926
33,20097,33,0.1131041098308721,0.0,0.9577922077922078
34,20610,34,0.11223582198504824,0.0,0.9635761589403974
35,21267,35,0.11424226970478575,0.0,0.9721448467966574
36,21588,36,1.052517606406149,0.0,0.5240963855421686
37,22173,37,0.6149288856606172,0.0,0.6090909090909091
